CustomerID,Recency,Frequency,Monetary,recencyScore,frequencyScore,monetaryScore,RFM_SCORE,SegmentRFM,KMeansSegments
12346.0,478,12,4740.8,2,5,4,3.5999999999999996,loyal_customers,good_customers
12347.0,155,8,5836.2,5,4,5,4.6,loyal_customers,loyal_customers
12348.0,228,5,1579.6999999999998,3,4,3,3.4000000000000004,loyal_customers,loyal_customers
12349.0,171,4,812.0,5,3,2,3.6,loyal_customers,loyal_customers
12350.0,463,1,240.54,2,1,1,1.4000000000000001,lost_customers,good_customers
12351.0,528,1,385.86,2,1,1,1.4000000000000001,lost_customers,good_customers
12352.0,189,10,4705.08,4,5,4,4.4,loyal_customers,loyal_customers
12353.0,357,2,964.33,2,2,2,2.0,good_customers,good_customers
12354.0,385,1,922.0,2,1,2,1.6,good_customers,good_customers
12355.0,367,2,1162.9,2,2,3,2.2,good_customers,good_customers
12356.0,175,6,2890.2000000000003,4,4,4,4.0,loyal_customers,loyal_customers
12357.0,186,3,831.0,4,3,2,3.2,loyal_customers,loyal_customers
12358.0,154,5,2913.9,5,4,4,4.4,loyal_customers,loyal_customers
12359.0,210,10,8981.48,4,5,5,4.6,loyal_customers,champions
12360.0,205,8,12037.4,4,4,5,4.2,loyal_customers,champions
12361.0,440,4,2758.9,2,3,4,2.8,loyal_customers,good_customers
12362.0,156,11,5033.9,5,5,5,5.0,champions,loyal_customers
12363.0,262,2,1311.9,3,2,3,2.6,loyal_customers,loyal_customers
12364.0,160,4,2297.5,5,3,3,3.8000000000000003,loyal_customers,loyal_customers
12365.0,444,2,435.8,2,2,2,2.0,good_customers,good_customers
12366.0,786,1,1267.0,1,1,3,1.4000000000000001,lost_customers,lost_customers
12367.0,157,1,1385.0,5,1,3,3.0,loyal_customers,loyal_customers
12368.0,781,1,166.8,1,1,1,1.0,lost_customers,lost_customers
12369.0,566,3,1327.4,1,3,3,2.2,good_customers,good_customers
12370.0,204,7,3017.4200000000005,4,4,4,4.0,loyal_customers,loyal_customers
12371.0,197,5,2455.0,4,4,4,4.0,loyal_customers,loyal_customers
12372.0,224,3,3484.95,3,3,4,3.2,loyal_customers,loyal_customers
12373.0,464,3,601.75,2,3,2,2.4,good_customers,good_customers
12374.0,178,4,3088.6,4,3,4,3.6000000000000005,loyal_customers,loyal_customers
12375.0,163,2,6532.72,5,2,5,3.8,loyal_customers,loyal_customers
12376.0,542,2,340.0,2,2,1,1.8,good_customers,good_customers
12377.0,468,4,4429.8,2,3,4,2.8,loyal_customers,good_customers
12378.0,282,2,837.9,3,2,2,2.4,good_customers,loyal_customers
12379.0,234,4,2184.0,3,3,3,3.0000000000000004,loyal_customers,loyal_customers
12380.0,174,11,3619.3,4,5,4,4.4,loyal_customers,loyal_customers
12381.0,157,5,1331.8500000000001,5,4,3,4.2,loyal_customers,loyal_customers
12383.0,337,5,1842.1499999999999,3,4,3,3.4000000000000004,loyal_customers,loyal_customers
12384.0,181,2,487.0,4,2,2,2.8000000000000003,loyal_customers,loyal_customers
12385.0,532,1,170.5,2,1,1,1.4000000000000001,lost_customers,good_customers
12386.0,490,2,455.3,2,2,2,2.0,good_customers,good_customers
12387.0,568,1,124.8,1,1,1,1.0,lost_customers,good_customers
12388.0,168,8,10236.0,5,4,5,4.6,loyal_customers,champions
12389.0,555,3,676.9,2,3,2,2.4,good_customers,good_customers
12390.0,232,1,245.45,3,1,1,1.8,good_customers,loyal_customers
12391.0,174,6,2776.9,4,4,4,4.0,loyal_customers,loyal_customers
12392.0,744,1,468.92,1,1,2,1.2000000000000002,lost_customers,lost_customers
12393.0,225,6,2797.7000000000003,3,4,4,3.6000000000000005,loyal_customers,loyal_customers
12394.0,216,2,1311.5,3,2,3,2.6,loyal_customers,loyal_customers
12395.0,172,15,9409.539999999999,5,5,5,5.0,champions,champions
